Player,Club,Played,Raids,Raid Pts,Raid Avg,Super Raids
Anup Kumar,U Mumba,16,123,155,9.69,8
Rahul Chaudhari,Telugu Titans,14,122,151,10.79,2
Maninder Singh,Jaipur Pink Panthers,16,103,130,8.13,3
Ajay Thakur,Bengal Warriors,15,96,122,8.13,2
Kashiling Adake,Dabang Delhi,14,92,113,8.07,3
Surjeet Narwal,Dabang Delhi,14,98,113,8.07,2
Ravi Dalal,Patna Pirates,16,87,111,6.94,4
Jasvir Singh,Jaipur Pink Panthers,15,83,106,7.07,2
Wazir Singh,Puneri Paltan,12,85,104,8.67,2
Nitin Madane,Bengal Warriors,12,78,101,8.42,3
Sandeep Narwal,Patna Pirates,16,68,92,5.75,8
Rakesh Kumar,Patna Pirates,12,76,88,7.33,0
Deepak Niwas Hooda,Telugu Titans,14,72,87,6.21,3
Sukesh Hegde,Telugu Titans,14,60,79,5.64,3
Rajesh Narwal,Jaipur Pink Panthers,16,59,72,4.5,3
Manjeet Chhillar,Bengal Warriors,16,53,71,4.44,2
Shabeer Bappu,U Mumba,10,51,66,6.6,2
Rishank Devadiga,U Mumba,16,45,64,4,2
Jang Kun Lee,Bengal Warriors,11,39,55,5,5
Mahesh Goud,Bengal Warriors,13,40,51,3.92,1
Pawan Kumar Kadian,U Mumba,10,32,43,4.3,0
Shrikant Tewthia,Dabang Delhi,14,37,41,2.93,0
Jitesh Joshi,Puneri Paltan,14,31,40,2.86,0
Rajesh Mondal,Bengal Warriors,15,32,39,2.6,2
Sunil Jaipal,Bengal Warriors,13,22,33,2.54,2
Mangesh Bhagat,Puneri Paltan,8,19,27,3.38,0
